Date-Time : 2021-06-25 00:01:27,165 : INFO : <RequestsCookieJar[<Cookie sessionid_8888=sessnaGjkYm5TSh7xSbXtJKQ8A== for 10.214.50.233/>]>
Date-Time : 2021-06-25 00:01:27,724 : INFO : New Read WriteTransaction:{"jsonrpc":"2.0","result":{"th":1},"id":1}
Date-Time : 2021-06-25 00:01:36,102 : INFO : Create BD VLAN_1629_BD_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:36,519 : INFO : Set Value VLAN_1629_BD_G2 VRF:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:36,686 : INFO : Create BD VLAN_2051_BD_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:36,798 : INFO : Set Value VLAN_2051_BD_G2 VRF:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:36,956 : INFO : Create BD VLAN_2052_BD_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:37,068 : INFO : Set Value VLAN_2052_BD_G2 VRF:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:37,505 : INFO : Create BD VLAN_2053_BD_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:38,042 : INFO : Set Value VLAN_2053_BD_G2 VRF:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:38,593 : INFO : Create BD VLAN_2054_BD_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:38,960 : INFO : Set Value VLAN_2054_BD_G2 VRF:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:39,500 : INFO : Create BD VLAN_2150_BD_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:40,041 : INFO : Set Value VLAN_2150_BD_G2 VRF:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:40,580 : INFO : Create BD VLAN_2151_BD_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:41,125 : INFO : Set Value VLAN_2151_BD_G2 VRF:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:41,681 : INFO : Create Epg VLAN_1629_EPG_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:42,220 : INFO : Create Epg VLAN_2051_EPG_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:42,762 : INFO : Create Epg VLAN_2052_EPG_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:43,299 : INFO : Create Epg VLAN_2053_EPG_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:43,840 : INFO : Create Epg VLAN_2054_EPG_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:44,384 : INFO : Create Epg VLAN_2150_EPG_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:44,930 : INFO : Create Epg VLAN_2151_EPG_G2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:45,471 : INFO : Create Encap 1629:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:46,009 : INFO : Create Encap 2051:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:46,551 : INFO : Create Encap 2052:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:47,093 : INFO : Create Encap 2053:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:47,530 : INFO : Create Encap 2054:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:48,071 : INFO : Create Encap 2150:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:48,611 : INFO : Create Encap 2151:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:49,281 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC01_ILO_lf313_E19:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:49,821 : INFO : Set Value PA G2_TCGBZVMPSMSC01_ILO_lf313_E19 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:50,362 : INFO : Set Value PA G2_TCGBZVMPSMSC01_ILO_lf313_E19 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:50,906 : INFO : Set Value PA G2_TCGBZVMPSMSC01_ILO_lf313_E19 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:51,441 : INFO : Set Value PA G2_TCGBZVMPSMSC01_ILO_lf313_E19 Interface Profile 1G_HOST_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:51,986 : INFO : Set Value PA G2_TCGBZVMPSMSC01_ILO_lf313_E19 Node Id 313:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:52,532 : INFO : Set Value PA G2_TCGBZVMPSMSC01_ILO_lf313_E19 Node Port 1/19:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:53,072 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC01_MGMT_lf121_E17:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:53,613 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf121_E17 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:54,142 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf121_E17 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:54,695 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf121_E17 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:55,242 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf121_E17 Interface Profile 10G_FW_LB_CLOUD_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:55,783 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf121_E17 Node Id 121:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:56,331 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf121_E17 Node Port 1/17:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:56,871 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC01_MGMT_lf122_E17:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:57,411 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf122_E17 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:57,953 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf122_E17 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:58,511 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf122_E17 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:59,060 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf122_E17 Interface Profile 10G_FW_LB_CLOUD_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:01:59,615 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf122_E17 Node Id 122:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:00,174 : INFO : Set Value PA G2_TCGBZVMPSMSC01_MGMT_lf122_E17 Node Port 1/17:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:00,710 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC02_ILO_lf313_E20:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:01,261 : INFO : Set Value PA G2_TCGBZVMPSMSC02_ILO_lf313_E20 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:01,804 : INFO : Set Value PA G2_TCGBZVMPSMSC02_ILO_lf313_E20 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:02,374 : INFO : Set Value PA G2_TCGBZVMPSMSC02_ILO_lf313_E20 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:02,913 : INFO : Set Value PA G2_TCGBZVMPSMSC02_ILO_lf313_E20 Interface Profile 1G_HOST_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:03,453 : INFO : Set Value PA G2_TCGBZVMPSMSC02_ILO_lf313_E20 Node Id 313:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:03,997 : INFO : Set Value PA G2_TCGBZVMPSMSC02_ILO_lf313_E20 Node Port 1/20:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:04,553 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC02_MGMT_lf121_E19:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:05,095 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf121_E19 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:05,631 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf121_E19 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:06,176 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf121_E19 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:06,722 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf121_E19 Interface Profile 10G_FW_LB_CLOUD_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:07,272 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf121_E19 Node Id 121:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:07,816 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf121_E19 Node Port 1/19:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:08,370 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC02_MGMT_lf122_E19:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:08,912 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf122_E19 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:09,467 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf122_E19 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:10,012 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf122_E19 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:10,563 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf122_E19 Interface Profile 10G_FW_LB_CLOUD_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:11,096 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf122_E19 Node Id 122:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:11,643 : INFO : Set Value PA G2_TCGBZVMPSMSC02_MGMT_lf122_E19 Node Port 1/19:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:12,198 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC03_ILO_lf313_E21:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:12,736 : INFO : Set Value PA G2_TCGBZVMPSMSC03_ILO_lf313_E21 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:13,284 : INFO : Set Value PA G2_TCGBZVMPSMSC03_ILO_lf313_E21 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:13,834 : INFO : Set Value PA G2_TCGBZVMPSMSC03_ILO_lf313_E21 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:14,374 : INFO : Set Value PA G2_TCGBZVMPSMSC03_ILO_lf313_E21 Interface Profile 1G_HOST_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:14,917 : INFO : Set Value PA G2_TCGBZVMPSMSC03_ILO_lf313_E21 Node Id 313:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:15,465 : INFO : Set Value PA G2_TCGBZVMPSMSC03_ILO_lf313_E21 Node Port 1/21:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:16,013 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC03_MGMT_lf121_E21:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:16,544 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf121_E21 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:17,088 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf121_E21 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:17,632 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf121_E21 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:18,175 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf121_E21 Interface Profile 10G_FW_LB_CLOUD_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:18,723 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf121_E21 Node Id 121:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:19,263 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf121_E21 Node Port 1/21:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:19,811 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC03_MGMT_lf122_E21:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:20,353 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf122_E21 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:20,893 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf122_E21 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:21,424 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf122_E21 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:21,973 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf122_E21 Interface Profile 10G_FW_LB_CLOUD_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:22,524 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf122_E21 Node Id 122:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:23,073 : INFO : Set Value PA G2_TCGBZVMPSMSC03_MGMT_lf122_E21 Node Port 1/21:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:23,613 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC04_ILO_lf313_E22:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:24,146 : INFO : Set Value PA G2_TCGBZVMPSMSC04_ILO_lf313_E22 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:24,474 : INFO : Set Value PA G2_TCGBZVMPSMSC04_ILO_lf313_E22 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:25,002 : INFO : Set Value PA G2_TCGBZVMPSMSC04_ILO_lf313_E22 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:25,542 : INFO : Set Value PA G2_TCGBZVMPSMSC04_ILO_lf313_E22 Interface Profile 1G_HOST_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:26,083 : INFO : Set Value PA G2_TCGBZVMPSMSC04_ILO_lf313_E22 Node Id 313:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:26,627 : INFO : Set Value PA G2_TCGBZVMPSMSC04_ILO_lf313_E22 Node Port 1/22:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:27,174 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC04_MGMT_lf121_E23:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:27,713 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf121_E23 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:28,258 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf121_E23 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:28,814 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf121_E23 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:29,352 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf121_E23 Interface Profile 10G_FW_LB_CLOUD_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:29,893 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf121_E23 Node Id 121:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:30,433 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf121_E23 Node Port 1/23:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:30,961 : INFO : Create Tenant GBZ2-FW-LB-Services Port PA G2_TCGBZVMPSMSC04_MGMT_lf122_E23:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:31,504 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf122_E23 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:32,054 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf122_E23 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:32,593 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf122_E23 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:33,133 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf122_E23 Interface Profile 10G_FW_LB_CLOUD_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:33,677 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf122_E23 Node Id 122:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:34,224 : INFO : Set Value PA G2_TCGBZVMPSMSC04_MGMT_lf122_E23 Node Port 1/23:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:34,751 : INFO : Create Tenant GBZ2-KAPALI-VLAN Port PA G2_TCGBZDELLBIP01_lf142_E35:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:35,290 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E35 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:35,826 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E35 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:36,351 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E35 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:36,881 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E35 Interface Profile 10G_HOST_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:37,412 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E35 Node Id 142:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:37,953 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E35 Node Port 1/35:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:38,380 : INFO : Create Tenant GBZ2-KAPALI-VLAN Port PA G2_TCGBZDELLBIP01_lf142_E83:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:38,911 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E83 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:39,440 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E83 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:39,971 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E83 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:40,514 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E83 Interface Profile 10G_HOST_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:41,073 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E83 Node Id 142:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:41,602 : INFO : Set Value PA G2_TCGBZDELLBIP01_lf142_E83 Node Port 1/83:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:42,131 : INFO : Create Tenant GBZ2-KAPALI-VLAN Port PA G2_TCGBZDELLBIP02_lf142_E36:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:42,674 : INFO : Set Value PA G2_TCGBZDELLBIP02_lf142_E36 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:43,213 : INFO : Set Value PA G2_TCGBZDELLBIP02_lf142_E36 Pod 1:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:43,754 : INFO : Set Value PA G2_TCGBZDELLBIP02_lf142_E36 Type SA:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:44,298 : INFO : Set Value PA G2_TCGBZDELLBIP02_lf142_E36 Interface Profile 10G_HOST_INTPOL_GRP:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:44,831 : INFO : Set Value PA G2_TCGBZDELLBIP02_lf142_E36 Node Id 142:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:45,362 : INFO : Set Value PA G2_TCGBZDELLBIP02_lf142_E36 Node Port 1/36:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:45,897 : INFO : Create Tenant GBZ2-KAPALI-VLAN Port PA G2_TCGBZDELLBIP02_lf142_E84:{"jsonrpc":"2.0","result":{},"id":1}
Date-Time : 2021-06-25 00:02:46,422 : INFO : Set Value PA G2_TCGBZDELLBIP02_lf142_E84 Fabric gbz-aci-ict-fabric-2:{"jsonrpc":"2.0","result":{},"id":1}
